紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
醋酸甲地孕酮片,醋酸甲地孕酮片（Megestrol Acetate Tablets），商品名梅格施。治疗月经不调、功能性子宫出血、子宫内膜异位症；晚期乳腺癌和子宫内膜腺癌；亦可用于短效复方口服避孕片的孕激素成分。
中性胰岛素注射液,中性胰岛素注射液（Neutral Insulin Injection），激素类药.可降低血糖、纠正糖尿病所引起的糖及其他代谢紊乱.用于治疗严重糖尿病。
黄体酮胶丸,黄体酮胶丸（Progesterone Soft Capsules），商品名琪宁。用于不孕症、黄体功能不足、功能性子宫出血、隐睾症、男性性腺功能减退症、先兆流产或习惯性流产等。如在绝经促性素之后配合使用本品，则效果较好。 主要用于促排卵，促黄体发育。在男性可促使睾丸间质细胞分泌睾酮，可用以检验睾丸间质细胞功能，与尿促性素联合长期应用，有生精作用。
盐酸艾司洛尔注射液,盐酸艾司洛尔注射液（Esmolol Hydrochloride Injection），商品名欣洛平、爱络。1.用于心房颤动、心房扑动时控制心室率。2.围手术期高血压。3.窦性心动过速。
氨碘肽滴眼液,氨碘肽滴眼液（Amiotide Eye Drops），商品名克胜氨碘肽滴眼液、恒新氨碘肽滴眼液。氨碘肽滴眼液用于早期老年性白内障，玻璃体混浊等眼病的治疗
脑灵素胶囊,Naolingsu Jiaonang
宝宝乐,宝宝乐，温中补虚，和里缓急，开胃消食。用于脾胃虚寒，脘腹隐痛，喜温喜按，胃纳不香，食少便溏。
华法林钠片,华法林钠片（Warfarin Sodium Tablets），适用于需长期持续抗凝的患者：①能防止血栓的形成及发展，用于治疗血栓栓塞性疾病；②治疗手术后或创伤后的静脉血栓形成，并可作心肌梗塞的辅助用药；③对曾有血栓栓塞病患者及有术后血栓并发症危险者，可予预防性用药。
肠多糖片,肠多糖片（Swine Duodenum Mucopolysaccharide Tablets），用于冠心病及动脉粥样硬化。
甲磺酸二氢麦角碱缓释胶囊,甲磺酸二氢麦角碱缓释胶囊（Ergoloid Mesylate Sustained Release Capsules），商品名培磊能。脑动脉硬化症、脑震荡后遗症、脑中风后遗症及老年性痴呆等。
熊胆开明片,熊胆开明片，清肝泻热，滋阴明目。用于肝胆郁热，阴精不足所致瞳神紧小、青风内障，症见目赤疼痛，羞明流泪、视物模糊、烦躁易怒、口苦咽干;急性虹膜睫状体炎、原发性开角型青光眼见上述症侯者。
注射用重组人凝血因子VIII,注射用重组人凝血因子VIII（Recombinant Coagulation FactorVIII for Injection），商品名拜科奇。用于血浆凝血因子VⅢ(FVⅢ)缺乏的甲型血友病治疗。在纠正或预防出血、急诊或择期手术中，本品起到暂时代替缺失的凝血因子的作用。
递法明片,递法明片，增加静脉张力及起到保护血管作用。主要用于治疗糖尿病视网膜病变和改善夜视力。
硝酸益康唑乳膏,硝酸益康唑乳膏（Econazole Nitrate Ointment），本品适用于皮肤念珠菌病的治疗;亦可用于治疗体癣、股癣、足癣、花斑癣等。
吲哚美辛胶囊,吲哚美辛胶囊（Indometacin　Capsules），用于①关节炎，可缓解疼痛和肿胀。②软组织损伤和炎症；③解热；④其他：用于治疗偏头痛、痛经、手术后痛、创伤后痛等。
元胡止痛胶囊,元胡止痛胶囊，理气，活血，止痛。用于气滞血瘀的胃痛、胁痛、头痛及痛经等。
小儿氨酚黄那敏颗粒,小儿氨酚黄那敏颗粒（Pediatric Paracetamol,Atificial Cow-bezoar and Chlorphenamine Maleate Granules），商品名护彤、长乐宝贝、贝达宁TM。用于缓解儿童普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。
奋乃静注射液,奋乃静注射液（Perphenazine Injection），对幻觉妄想、思维障碍、淡漠木僵及焦虑激动等症状有较好的疗效。用于精神分裂症或其他精神病性障碍。因镇静作用较弱，对血压的影响较小。适用于器质性精神病、老年性精神障碍及儿童攻击性行为障碍。
盐酸克林霉素胶囊,盐酸克林霉素胶囊（Clindamycin Hydrochloride Capsules），商品名特丽仙、万可宁、丽珠灵。本品适用于由链球菌属、葡萄球菌属及厌氧菌等敏感菌株所致的下述感染：中耳 炎、鼻窦炎、化脓性扁桃体炎、肺炎;皮肤软组织感染;在治疗骨和关节感染、腹腔感染、盆 腔感染、脓胸、肺脓肿、骨髓炎、败血症等疾病时，可根据情况单用或与其他抗菌药联合应用。
氯化钠注射液,氯化钠注射液（Sodium Chloride Injection），各种原因所致的失水包括低渗性等渗性和高渗性失水；高渗性非酮症糖尿病昏迷应用等渗或低渗氯化钠可纠正失水和高渗状态；低氯性代谢性碱中毒；外用生理盐水冲洗眼部洗涤伤口等；还用于产科的水囊引产
骨刺片,骨刺片，散风邪，祛寒湿，舒筋活血，通络止痛。用于颈椎、胸椎、腰椎、跟骨等骨关节增生性疾病，对风湿、类风湿性关节炎有一定疗效。
注射用氢化可的松琥珀酸钠,通用名： 注射用氢化可的松琥珀酸钠
脑血康片,脑血康片，活血化瘀，破血散结。用于中风后出现半身不遂、口眼歪斜、舌强语塞等证，更适用于高血压脑出血后的脑水肿、脑血栓等症。
十三味红花丸,十三味红花
干酵母片,干酵母片（Yeast Tablets），用于营养不良、消化不良、食欲不振及维生素B缺乏等。
注射用细胞色素C,通用名： 注射用细胞色素C
橘红丸,橘红丸，清肺，化痰，止咳。
诺氟沙星胶囊,诺氟沙星胶囊（Norfloxacin Capsules），商品名氟哌酸胶囊、肯迪可舒胶囊。适用于敏感菌所致的尿路感染、淋病、前列腺炎、肠道感染和伤寒及其他沙门菌感染
贝诺酯片,贝诺酯片（Benorilate　Tablets），用于发热、头痛、神经痛、牙痛及手术后轻中度疼痛等。
生三七散,[拼音名]：shengsanqisan
孕康口服液,孕康口服液，健脾固肾，养血安胎。用于气虚型和气血虚弱型先兆流产和习惯性流产。
天麻素注射液,天麻素注射液（Gastrodin Injection），商品名天眩清。镇静、安眠、镇痛。用于神衰、神衰综合征及血管性头痛，脑外伤性综合征：偏头痛、三叉神经痛、枕大神经痛、眩晕、突发性耳聋，前庭神经元炎，椎基底动脉供血不足及辅助治疗癫痫等。
苯甲酸苄酯凝胶,苯甲酸苄酯凝胶（Benzyl Benzoate Gel），适用于治疗疥疮和头虱、体虱及阴虱。
注射用重组人白介素-2,注射用重组人白介素-2（Recombinant Human Interleukin-2 for Injection），商品名辛洛尔。本品为抗肿瘤的生物治疗用药，适用于晚期肾癌、恶性黑色素瘤及癌性胸腹腔积液的治疗，也可试用于其他恶性肿瘤的综合治疗。
注射用奈达铂,注射用奈达铂（Nedaplatin　for　Injection），商品名鲁贝、捷佰舒。用于头颈部癌、小细胞肺癌、非小细胞肺癌、食管癌等实体瘤
氯霉素滴眼液,氯霉素滴眼液（Chloramphenicol Eye Drops），商品名润舒。用于治疗由大肠杆菌、流感嗜血杆菌、克雷伯菌属、金黄色葡萄球菌、溶血性链球菌和其他敏感菌所致眼部感染，如沙眼、结膜炎、角膜炎、眼睑缘炎等。
肿节风胶囊,肿节风胶囊，清热解毒，消肿散结。用于肺炎、阑尾炎、蜂窝组织炎属热度雍盛症候者，并可用于癌症辅助治疗
人免疫球蛋白,人免疫球蛋白（Human Normal Immunoglobulin），主要用于预防麻疹和传染性肝炎。若与抗生素合并使用，可提高对某些严重细菌和病毒感染的疗效。
痔疮外洗药,主要成分：芒硝，花椒，防风，黄连，鱼腥草，五倍子，甘草。
富马酸亚铁胶囊,富马酸亚铁胶囊（Ferrous Fumarate Capsules），商品名舒雪康。用于各种原因如慢性失血、营养不良、儿童发育期等引起的缺铁性贫血。
尼麦角林胶囊,尼麦角林胶囊（Nicergoline Capsules），商品名凯尔。本品用于下肢慢性动脉炎（二期）的补充治疗（注：此适应症是基于尼麦角林可改善病人的行走距离的研究结果）。改善老年人病理性智力减退的症状（记忆力和注意力障碍等）。老年人的头昏眼花。
维血康糖浆,维血康糖浆
奥美拉唑肠溶片,奥美拉唑肠溶片（Omeprazole Enteric-coated Tablets），商品名华澳美、爱尼、双鲸吉立、兰尼。适用于胃溃疡、十二指肠溃疡、应激性溃疡、反流性食管炎和卓-艾综合征（胃泌素瘤）。
薏芽健脾凝胶,[商标/商品名]：薏芽健脾凝胶
夏枯草膏,夏枯草膏，清火，明目，散结，消肿。用于头痛，眩晕，瘰疬，瘿瘤，乳痈肿痛；甲状腺肿大，淋巴结结核，乳腺增生症。
六合维生素丸,[拼音名]：Liuhe Weishengsu Wan
甘草酸二铵肠溶胶囊,甘草酸二铵肠溶胶囊（Diammonium Glycyrrhizinate Enteric-coated Capsules），商品名天晴甘平。本品适用于伴有谷丙氨基转移酶升高的急、慢性肝炎的治疗。
小儿麻甘颗粒,小儿麻甘颗粒，平喘止咳，利咽祛痰。用于小儿肺炎喘咳，咽喉炎症。
盐酸左氧氟沙星滴眼液,盐酸左氧氟沙星滴眼液（Levofloxacine Hydrochloride Eye Drops），商品名朗悦、海伦、联邦左福康。本品适用于治疗敏感细菌引起的细菌性结膜炎、细菌性角膜炎。
玉屏风口服液,玉屏风口服液，益气，固表，止汗。用于表虚不固，自汗恶风，面色白光白，或体虚易感风邪者。
奥硝唑氯化钠注射液,奥硝唑氯化钠注射液（Ornidazole and Sodium Chloride Injection），商品名圣诺安、内德滋。1．用于治疗由脆弱拟杆菌、狄氏拟杆菌、卵园拟杆菌、多形拟杆菌、普通拟杆菌、梭状芽胞杆菌、真杆菌、消化球菌和消化链球菌、幽门螺杆菌、黑色素拟杆菌、梭杆菌、CO2噬织维菌、牙龈类杆菌等敏感厌氧菌所引起的多种感染性疾病，包括：1）腹部感染：胞膜炎、腹内脓肿、肝脓肿等；2）盆腔感染：子宫内膜炎、子宫肌炎、输卵管或卵巢脓肿、盆腔软组织感染、嗜血杆菌阴道炎等；3）口腔感染：牙周炎、尖周炎、冠周炎、急性溃疡性龈炎等；4）外科感染：伤口感染、表皮脓肿、褥疮溃疡感染、蜂窝组织炎、气性坏疽等；5）脑部感染：脑膜炎、脑脓肿；6）败血症、菌血症等严重厌氧菌感染等。2．用于手术前预防感染和手术后厌氧菌感染的治疗。3．治疗消化系统严重阿米巴虫病，如阿米巴痢疾、阿米巴肝脓肿等
珍香胶囊,珍香胶囊，清热解毒，活血化瘀，消痰散结。对于证属痰瘀凝聚，毒热蕴结的食管癌患者的放疗有协同作用。
止痛化癥片,止痛化癥片，活血调经，化癥止痛，软坚散结。用于癥瘕积聚，痛经闭经，赤白带下及慢性盆腔炎等。
防风通圣丸,防风通圣丸，解表通里，清热解毒。用于荨麻疹，湿疹，大便秘结。
盐酸多塞平片,盐酸多塞平片（Doxepin Hydrochlride Tablets），用于治疗抑郁症及焦虑性神经症。
金荞麦片,金荞麦片，清热解毒，排脓祛瘀，祛痰止咳平喘。用于急性肺脓疡、急慢性气管炎、喘息型慢性气管炎、支气管哮喘及细菌性痢疾。症见咳吐腥臭脓血痰液或咳嗽痰多，喘息痰鸣及大便泻下赤白脓血。
风油精,风油精，商品名龙虎牌风油精。清凉，止痛，驱风，止痒。用于蚊虫叮咬及伤风感冒引起的头痛，头晕，晕车不适。
维生素AE胶丸,维生素AE胶丸说明书
细胞色素C注射液,细胞色素C注射液（Cytochrome C Injection），用于各种组织缺氧急救的辅助治疗，如一氧化碳中毒、催眠药中毒、氰化物中毒、新生儿窒息、严重休克期缺氧、脑血管意外、脑震荡后遗症、麻醉及肺部疾病引起的呼吸困难和各种心脏疾患引起的心肌缺氧的治疗。
益母草膏,益母草膏，活血调经。用于血瘀所致的月经不调，症见经水量少。
氯霉素片,氯霉素片（Chloramphenicol Tablets），1．伤寒和其他沙门菌属感染：为敏感菌株所致伤寒、副伤寒的选用药物，由沙门菌属感染的胃肠炎一般不宜应用本品，如病情严重，有合并败血症可能时仍可选用；在成人伤寒、副伤寒沙门菌感染中，以氟喹诺酮类药物为首选（孕妇及小儿不宜用该类药）。 2．耐氨苄西林的B型流感嗜血杆菌脑膜炎或对青霉素过敏患者的肺炎链球菌、脑膜炎奈瑟菌性脑膜炎、敏感的革兰阴性杆菌脑膜炎，本品可作为选用药物之一。 3．脑脓肿，尤其耳源性，常为需氧菌和厌氧菌混合感染。 4．严重厌氧菌感染，如脆弱拟杆菌所致感染，尤其适用于病变累及中枢神经系统者，可与氨基糖苷类抗生素联合应用治疗腹腔感染和盆腔感染，以控制同时存在的需氧和厌氧菌感染。 5．无其他低毒性抗菌药可替代时治疗敏感细菌所致的各种严重感染，如由流感嗜血杆菌、沙门菌属及其他革兰阴性杆菌所致败血症及肺部感染等，常与氨基糖苷类合用。 6．立克次体感染，可用于Q热、落矶山斑点热、地方性斑疹伤寒等的治疗。
阿咖酚散,阿咖酚散（Paracetamol ,Caffeine and Aspirin Powder），用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。
六味地黄胶囊,六味地黄胶囊，滋阴补肾。用于肾阴亏虚所致的头晕耳鸣，腰膝酸软，骨蒸潮热，盗汗。
四维他胶囊,药品名称　】 通用名称：吴太口腔溃疡灵/四维他胶囊 商品名称：吴太口腔溃疡灵/四维他胶囊
头孢呋辛酯干混悬剂,头孢呋辛酯干混悬剂（Cefuroxime Axetil for Suspension），商品名运泰。适用于敏感细菌所致的上呼吸道感染，下呼吸道感染，泌尿道感染，皮肤和软组织感染，由博氏疏螺旋引起的早期Lyme病（游走性红斑）等。
乙氧苯柳胺软膏,【化学名】N-(4-乙氧苯基)-2-羟基苯甲酰
美诺平颗粒,美诺平颗粒
